ìÂ;ìÀ
2.1557E-02;4.3113E-06
2.1637E-02;4.3273E-06
2.1642E-02;4.3284E-06
2.1642E-02;4.3284E-06
2.1657E-02;4.3314E-06
2.1663E-02;4.3325E-06
2.1676E-02;4.3351E-06
2.1691E-02;4.3381E-06
2.1771E-02;4.3541E-06
2.1814E-02;4.3627E-06
2.1858E-02;4.3717E-06
2.1881E-02;4.3761E-06
2.1888E-02;4.3776E-06
2.1897E-02;4.3795E-06
2.1912E-02;4.3825E-06
2.1935E-02;4.3869E-06
2.1935E-02;4.3869E-06
2.1951E-02;4.3903E-06
2.1957E-02;4.3914E-06
2.1968E-02;4.3936E-06
2.2009E-02;4.4018E-06
2.2076E-02;4.4152E-06
2.2087E-02;4.4175E-06
2.2097E-02;4.4193E-06
2.2099E-02;4.4197E-06
2.2110E-02;4.4219E-06
2.2136E-02;4.4272E-06
2.2145E-02;4.4290E-06
2.2156E-02;4.4313E-06
2.2158E-02;4.4316E-06
2.2164E-02;4.4327E-06
2.2175E-02;4.4350E-06
2.2177E-02;4.4354E-06
2.2190E-02;4.4380E-06
2.2194E-02;4.4387E-06
2.2199E-02;4.4398E-06
2.2205E-02;4.4409E-06
2.2207E-02;4.4413E-06
2.2210E-02;4.4421E-06
2.2216E-02;4.4432E-06
2.2223E-02;4.4447E-06
2.2231E-02;4.4462E-06
2.2236E-02;4.4473E-06
2.2261E-02;4.4521E-06
2.2262E-02;4.4525E-06
2.2266E-02;4.4532E-06
2.2266E-02;4.4532E-06
2.2296E-02;4.4592E-06
2.2302E-02;4.4603E-06
2.2309E-02;4.4618E-06
2.2315E-02;4.4629E-06
2.2326E-02;4.4652E-06
2.2326E-02;4.4652E-06
2.2328E-02;4.4655E-06
2.2333E-02;4.4666E-06
2.2337E-02;4.4674E-06
2.2343E-02;4.4685E-06
2.2346E-02;4.4693E-06
2.2357E-02;4.4715E-06
2.2359E-02;4.4719E-06
2.2363E-02;4.4726E-06
2.2365E-02;4.4730E-06
2.2365E-02;4.4730E-06
2.2367E-02;4.4734E-06
2.2374E-02;4.4748E-06
2.2384E-02;4.4767E-06
2.2387E-02;4.4775E-06
2.2391E-02;4.4782E-06
2.2395E-02;4.4789E-06
2.2404E-02;4.4808E-06
2.2408E-02;4.4815E-06
2.2417E-02;4.4834E-06
2.2417E-02;4.4834E-06
2.2421E-02;4.4842E-06
2.2428E-02;4.4856E-06
2.2430E-02;4.4860E-06
2.2447E-02;4.4894E-06
2.2462E-02;4.4924E-06
2.2462E-02;4.4924E-06
2.2465E-02;4.4931E-06
2.2473E-02;4.4946E-06
2.2475E-02;4.4950E-06
2.2479E-02;4.4957E-06
2.2480E-02;4.4961E-06
2.2484E-02;4.4968E-06
2.2495E-02;4.4991E-06
2.2520E-02;4.5039E-06
2.2523E-02;4.5046E-06
2.2523E-02;4.5046E-06
2.2531E-02;4.5061E-06
2.2533E-02;4.5065E-06
2.2534E-02;4.5069E-06
2.2534E-02;4.5069E-06
2.2547E-02;4.5095E-06
2.2547E-02;4.5095E-06
2.2551E-02;4.5102E-06
2.2559E-02;4.5117E-06
2.2562E-02;4.5125E-06
2.2579E-02;4.5158E-06
2.2592E-02;4.5184E-06
2.2598E-02;4.5195E-06
2.2603E-02;4.5207E-06
2.2611E-02;4.5222E-06
2.2613E-02;4.5225E-06
2.2618E-02;4.5236E-06
2.2622E-02;4.5244E-06
2.2624E-02;4.5248E-06
2.2624E-02;4.5248E-06
2.2628E-02;4.5255E-06
2.2628E-02;4.5255E-06
2.2628E-02;4.5255E-06
2.2628E-02;4.5255E-06
2.2629E-02;4.5259E-06
2.2629E-02;4.5259E-06
2.2633E-02;4.5266E-06
2.2639E-02;4.5277E-06
2.2644E-02;4.5289E-06
2.2646E-02;4.5292E-06
2.2648E-02;4.5296E-06
2.2655E-02;4.5311E-06
2.2657E-02;4.5315E-06
2.2661E-02;4.5322E-06
2.2663E-02;4.5326E-06
2.2665E-02;4.5330E-06
2.2667E-02;4.5333E-06
2.2669E-02;4.5337E-06
2.2669E-02;4.5337E-06
2.2682E-02;4.5363E-06
2.2687E-02;4.5374E-06
2.2696E-02;4.5393E-06
2.2715E-02;4.5430E-06
2.2715E-02;4.5430E-06
2.2730E-02;4.5460E-06
2.2736E-02;4.5471E-06
2.2736E-02;4.5471E-06
2.2737E-02;4.5475E-06
2.2752E-02;4.5505E-06
2.2760E-02;4.5520E-06
2.2769E-02;4.5538E-06
2.2769E-02;4.5538E-06
2.2782E-02;4.5564E-06
2.2786E-02;4.5572E-06
2.2788E-02;4.5575E-06
2.2793E-02;4.5587E-06
2.2812E-02;4.5624E-06
2.2819E-02;4.5639E-06
2.2827E-02;4.5654E-06
2.2831E-02;4.5661E-06
2.2832E-02;4.5665E-06
2.2847E-02;4.5695E-06
2.2864E-02;4.5728E-06
2.2864E-02;4.5728E-06
2.2873E-02;4.5747E-06
2.2875E-02;4.5751E-06
2.2881E-02;4.5762E-06
2.2886E-02;4.5773E-06
2.2892E-02;4.5784E-06
2.2901E-02;4.5803E-06
2.2907E-02;4.5814E-06
2.2913E-02;4.5825E-06
2.2933E-02;4.5866E-06
2.2933E-02;4.5866E-06
2.2944E-02;4.5888E-06
2.2946E-02;4.5892E-06
2.2950E-02;4.5900E-06
2.2952E-02;4.5903E-06
2.2955E-02;4.5911E-06
2.2967E-02;4.5933E-06
2.2968E-02;4.5937E-06
2.2972E-02;4.5944E-06
2.2978E-02;4.5955E-06
2.2991E-02;4.5982E-06
2.3002E-02;4.6004E-06
2.3011E-02;4.6022E-06
2.3013E-02;4.6026E-06
2.3013E-02;4.6026E-06
2.3047E-02;4.6093E-06
2.3069E-02;4.6138E-06
2.3073E-02;4.6145E-06
2.3075E-02;4.6149E-06
2.3091E-02;4.6183E-06
2.3101E-02;4.6201E-06
2.3106E-02;4.6212E-06
2.3132E-02;4.6265E-06
2.3142E-02;4.6283E-06
2.3145E-02;4.6291E-06
2.3166E-02;4.6332E-06
2.3171E-02;4.6343E-06
2.3190E-02;4.6380E-06
2.3192E-02;4.6384E-06
2.3222E-02;4.6443E-06
2.3242E-02;4.6484E-06
2.3248E-02;4.6496E-06
2.3259E-02;4.6518E-06
2.3279E-02;4.6559E-06
2.3345E-02;4.6689E-06
2.3380E-02;4.6760E-06
2.3423E-02;4.6846E-06
2.3484E-02;4.6969E-06
2.3559E-02;4.7118E-06
