ìÂ;ìÀ
8.1752E-03;1.6350E-07
8.2292E-03;1.6458E-07
8.6511E-03;1.7302E-07
8.9119E-03;1.7824E-07
9.2304E-03;1.8461E-07
9.3459E-03;1.8692E-07
9.4111E-03;1.8822E-07
9.4558E-03;1.8912E-07
9.4595E-03;1.8919E-07
9.5294E-03;1.9059E-07
9.7165E-03;1.9433E-07
9.7668E-03;1.9534E-07
9.7938E-03;1.9588E-07
9.8423E-03;1.9685E-07
9.8469E-03;1.9694E-07
9.8488E-03;1.9698E-07
9.8562E-03;1.9712E-07
9.9131E-03;1.9826E-07
9.9391E-03;1.9878E-07
9.9419E-03;1.9884E-07
9.9578E-03;1.9916E-07
9.9857E-03;1.9971E-07
1.0018E-02;2.0037E-07
1.0092E-02;2.0184E-07
1.0186E-02;2.0372E-07
1.0214E-02;2.0428E-07
1.0261E-02;2.0523E-07
1.0262E-02;2.0525E-07
1.0290E-02;2.0580E-07
1.0295E-02;2.0590E-07
1.0308E-02;2.0616E-07
1.0341E-02;2.0683E-07
1.0402E-02;2.0804E-07
1.0409E-02;2.0817E-07
1.0441E-02;2.0882E-07
1.0446E-02;2.0892E-07
1.0517E-02;2.1033E-07
1.0557E-02;2.1113E-07
1.0577E-02;2.1154E-07
1.0585E-02;2.1169E-07
1.0595E-02;2.1190E-07
1.0623E-02;2.1245E-07
1.0648E-02;2.1296E-07
1.0654E-02;2.1309E-07
1.0738E-02;2.1476E-07
1.0782E-02;2.1564E-07
1.0810E-02;2.1620E-07
1.0905E-02;2.1810E-07
1.1022E-02;2.2045E-07
1.1090E-02;2.2181E-07
1.1095E-02;2.2190E-07
1.1110E-02;2.2220E-07
1.1130E-02;2.2261E-07
1.1235E-02;2.2469E-07
1.1384E-02;2.2767E-07
1.1390E-02;2.2780E-07
1.1405E-02;2.2810E-07
1.1406E-02;2.2812E-07
1.1411E-02;2.2821E-07
1.1463E-02;2.2926E-07
1.1511E-02;2.3022E-07
1.1548E-02;2.3097E-07
1.1564E-02;2.3129E-07
1.1602E-02;2.3205E-07
1.1653E-02;2.3306E-07
1.1663E-02;2.3326E-07
1.1912E-02;2.3823E-07
1.1981E-02;2.3961E-07
1.2128E-02;2.4255E-07
1.2163E-02;2.4326E-07
1.2177E-02;2.4354E-07
1.2199E-02;2.4397E-07
1.2209E-02;2.4418E-07
1.2271E-02;2.4542E-07
1.2291E-02;2.4581E-07
1.2365E-02;2.4730E-07
1.2376E-02;2.4753E-07
1.2390E-02;2.4781E-07
1.2414E-02;2.4827E-07
1.2531E-02;2.5062E-07
1.2582E-02;2.5164E-07
1.2698E-02;2.5395E-07
1.2718E-02;2.5436E-07
1.2864E-02;2.5729E-07
1.3089E-02;2.6178E-07
1.3154E-02;2.6308E-07
1.3162E-02;2.6325E-07
1.3222E-02;2.6444E-07
1.3247E-02;2.6494E-07
1.3257E-02;2.6515E-07
1.3315E-02;2.6630E-07
1.3375E-02;2.6750E-07
1.3421E-02;2.6843E-07
1.3437E-02;2.6874E-07
1.3564E-02;2.7128E-07
1.3568E-02;2.7135E-07
1.3674E-02;2.7347E-07
1.3738E-02;2.7476E-07
1.3769E-02;2.7537E-07
1.3770E-02;2.7539E-07
1.3807E-02;2.7614E-07
1.3810E-02;2.7619E-07
1.3849E-02;2.7698E-07
1.3911E-02;2.7822E-07
1.4004E-02;2.8009E-07
1.4101E-02;2.8202E-07
1.4150E-02;2.8299E-07
1.4228E-02;2.8456E-07
1.4291E-02;2.8582E-07
1.4316E-02;2.8633E-07
1.4323E-02;2.8646E-07
1.4332E-02;2.8664E-07
1.4375E-02;2.8750E-07
1.4410E-02;2.8821E-07
1.4429E-02;2.8858E-07
1.4730E-02;2.9460E-07
1.4828E-02;2.9655E-07
1.4903E-02;2.9806E-07
1.4941E-02;2.9883E-07
1.5011E-02;3.0022E-07
1.5156E-02;3.0313E-07
1.5188E-02;3.0376E-07
1.5198E-02;3.0397E-07
1.5199E-02;3.0398E-07
1.5209E-02;3.0417E-07
1.5309E-02;3.0618E-07
1.5401E-02;3.0803E-07
1.5452E-02;3.0903E-07
1.5591E-02;3.1183E-07
1.5605E-02;3.1211E-07
1.5652E-02;3.1304E-07
1.5679E-02;3.1358E-07
1.5734E-02;3.1468E-07
1.5741E-02;3.1483E-07
1.5802E-02;3.1604E-07
1.5809E-02;3.1619E-07
1.5874E-02;3.1747E-07
1.5965E-02;3.1930E-07
1.6023E-02;3.2045E-07
1.6055E-02;3.2110E-07
1.6115E-02;3.2230E-07
1.6182E-02;3.2364E-07
1.6208E-02;3.2416E-07
1.6210E-02;3.2420E-07
1.6228E-02;3.2457E-07
1.6309E-02;3.2619E-07
1.6350E-02;3.2701E-07
1.6370E-02;3.2740E-07
1.6389E-02;3.2777E-07
1.6430E-02;3.2859E-07
1.6492E-02;3.2984E-07
1.6540E-02;3.3081E-07
1.6600E-02;3.3200E-07
1.6633E-02;3.3265E-07
1.6635E-02;3.3271E-07
1.6648E-02;3.3297E-07
1.6734E-02;3.3468E-07
1.6735E-02;3.3470E-07
1.6748E-02;3.3496E-07
1.6820E-02;3.3640E-07
1.6893E-02;3.3787E-07
1.6979E-02;3.3958E-07
1.6987E-02;3.3973E-07
1.7000E-02;3.4001E-07
1.7049E-02;3.4098E-07
1.7182E-02;3.4364E-07
1.7195E-02;3.4390E-07
1.7244E-02;3.4489E-07
1.7258E-02;3.4517E-07
1.7258E-02;3.4517E-07
1.7269E-02;3.4537E-07
1.7283E-02;3.4565E-07
1.7289E-02;3.4578E-07
1.7310E-02;3.4619E-07
1.7319E-02;3.4638E-07
1.7399E-02;3.4798E-07
1.7411E-02;3.4822E-07
1.7456E-02;3.4912E-07
1.7471E-02;3.4942E-07
1.7638E-02;3.5277E-07
1.7651E-02;3.5303E-07
1.7655E-02;3.5310E-07
1.7776E-02;3.5553E-07
1.7830E-02;3.5661E-07
1.7970E-02;3.5940E-07
1.8014E-02;3.6028E-07
1.8072E-02;3.6145E-07
1.8101E-02;3.6203E-07
1.8120E-02;3.6240E-07
1.8145E-02;3.6290E-07
1.8166E-02;3.6333E-07
1.8221E-02;3.6443E-07
1.8248E-02;3.6495E-07
1.8349E-02;3.6698E-07
1.8354E-02;3.6707E-07
1.8366E-02;3.6732E-07
1.8388E-02;3.6776E-07
1.8527E-02;3.7054E-07
1.8831E-02;3.7661E-07
1.9159E-02;3.8319E-07
